runname=input_Earth 
layers_found=[silicate,iron] 
phases_found=[pd,pv,ppv,liquid,solid] 
ir_comp_layer=[0,5678] 
ir_phase_layer=[0,1238,5295,10270] 
glob_variab=[[128000000000.0, 4.2, 0.99, 2.1, 2e-05, 3, 3516.34, 1.3347850228117743e-05, 0.7459369579289227, 215373834693.77478, 219528819215.5574, 1, 1, 0, 1265.0],[169650000000.0, 4, 1, 1.4, 2e-05, 3, 3868.6235, 6.639267439902973e-06, 0.5977350803215429, 573403318632.4905, 578673568035.1329, 1, 1, 0, 1265.0],[324500000000.0, 3.3, 1.48, 1.4, 2e-05, 2.1, 4260.0, 8.114115062319741e-06, 0.9714644807972537, 767621201686.7317, 781843694922.8562, 1, 1, 0, 1265.0],[145520000000.0, 4.125, 2.1664000000000003, 0.644, 4e-05, 3, 6129.200000000001, 5.071781924046409e-06, 1.3906064461387704, 1185539027717.2808, 1231726587225.441, 1, 1, 0, 840.0],[207090000000.0, 5.64, 1.6, 0.92, 4e-05, 3, 7399.7484, 7.186760549386661e-06, 0.9451304579076872, 2206278268426.024, 2290378904830.522, 10.760757003919487, 3495833.023854817, 1, 840.0]] 
i_g_change=11453 
i,r,rho,m,g,P,T,alpha,gamma,T_melt_Fe,Kt,Ks 
125,6250525.398794,3573.809924,5.862308e+24,10.014447,2.217794e+09,1752.435211,1.905058e-05,0.956863,nan,1.412873e+11,1.369137e+11 
126,6250029.325973,3574.258959,5.861438e+24,10.014550,2.235549e+09,1752.645871,1.904340e-05,0.956611,nan,1.413580e+11,1.369843e+11 
127,6249533.253152,3574.707887,5.860567e+24,10.014653,2.253307e+09,1752.856424,1.903623e-05,0.956359,nan,1.414286e+11,1.370550e+11 
128,6249037.180331,3575.156709,5.859697e+24,10.014755,2.271068e+09,1753.066871,1.902906e-05,0.956107,nan,1.414992e+11,1.371256e+11 
129,6248541.107510,3575.605423,5.858827e+24,10.014858,2.288830e+09,1753.277211,1.902190e-05,0.955855,nan,1.415698e+11,1.371962e+11 
130,6248045.034689,3576.054032,5.857956e+24,10.014960,2.306596e+09,1753.487444,1.901474e-05,0.955603,nan,1.416405e+11,1.372669e+11 
131,6247548.961868,3576.502533,5.857086e+24,10.015063,2.324363e+09,1753.697571,1.900759e-05,0.955351,nan,1.417111e+11,1.373375e+11 
132,6247052.889047,3576.950928,5.856216e+24,10.015165,2.342133e+09,1753.907591,1.900044e-05,0.955100,nan,1.417817e+11,1.374082e+11 
133,6246556.816226,3577.399217,5.855346e+24,10.015268,2.359906e+09,1754.117505,1.899330e-05,0.954848,nan,1.418523e+11,1.374788e+11 
134,6246060.743405,3577.847400,5.854475e+24,10.015370,2.377680e+09,1754.327314,1.898616e-05,0.954597,nan,1.419229e+11,1.375494e+11 
135,6245564.670584,3578.295476,5.853605e+24,10.015472,2.395458e+09,1754.537016,1.897903e-05,0.954346,nan,1.419935e+11,1.376201e+11 
136,6245068.597763,3578.743446,5.852735e+24,10.015574,2.413237e+09,1754.746612,1.897190e-05,0.954095,nan,1.420641e+11,1.376907e+11 
137,6244572.524942,3579.191311,5.851865e+24,10.015677,2.431019e+09,1754.956102,1.896478e-05,0.953845,nan,1.421347e+11,1.377613e+11 
138,6244076.452121,3579.639070,5.850995e+24,10.015779,2.448804e+09,1755.165487,1.895767e-05,0.953594,nan,1.422053e+11,1.378320e+11 
139,6243580.379300,3580.086723,5.850125e+24,10.015881,2.466590e+09,1755.374766,1.895056e-05,0.953344,nan,1.422759e+11,1.379026e+11 
140,6243084.306479,3580.534270,5.849255e+24,10.015983,2.484380e+09,1755.583939,1.894345e-05,0.953094,nan,1.423465e+11,1.379732e+11 
141,6242588.233658,3580.981712,5.848385e+24,10.016085,2.502171e+09,1755.793007,1.893635e-05,0.952844,nan,1.424171e+11,1.380439e+11 
142,6242092.160837,3581.429048,5.847515e+24,10.016187,2.519965e+09,1756.001970,1.892926e-05,0.952594,nan,1.424877e+11,1.381145e+11 
143,6241596.088016,3581.876279,5.846645e+24,10.016289,2.537762e+09,1756.210827,1.892217e-05,0.952344,nan,1.425583e+11,1.381851e+11 
